id,title,officialTitle,status,conditions,interventions,sponsor,phases,studyType,startDate,completionDate,locations,primaryOutcomes,url,source,compound_name
NCT04707300,Study Evaluating the Safety and the Efficacy of Human T Lymphoid Progenitor (HTLP) Injection to Accelerate Immune Reconstitution After Umbilical Cord Blood (UCB) Transplantation in Adult Patients With Hematologic Malignancies (HTLP-ONCO),A Phase I/II Study Evaluating the Safety and the Efficacy of Human T Lymphoid Progenitor (HTLP) Injection to Accelerate Immune Reconstitution After Umbilical Cord Blood (UCB) Transplantation in Adult Patients With Hematologic Malignancies,RECRUITING,Hematologic Malignancy,DRUG: Human T Lymphoid Progenitor (HTLP) injection,Assistance Publique - Hôpitaux de Paris,"PHASE1, PHASE2",INTERVENTIONAL,2022-02-16,2028-08,"Hôpital Saint Louis, Paris, France; Service d'Hématologie et thérapie cellulaire / CHU of Bordeaux, Pessac, France; IUCT Oncopole Toulouse, Toulouse, France; Institut Gustave Roussy, Villejuif, France; Hematology department / Necker Children's Hospital, Paris, France",Cumulative incidence of grade III-IV graft-versus-host disease (GvHD); CD4 + T cells analysis,https://clinicaltrials.gov/study/NCT04707300,ClinicalTrials.gov,Human T Lymphoid Progenitor (HTLP)
NCT03930680,Prevention of Heart Failure Induced by Doxorubicin With Early Administration of Dexrazoxane,Prevention of Heart Failure Induced by Doxorubicin With Early Administration of Dexrazoxane in Patients With Breast Cancer,COMPLETED,Degradation of Top2b and Top2a in Human by Dexrazoxane; Time Course and Degradation of Top2b in Human by Dexrazoxane; Effects of Dexrazoxane on Healthy Human,DRUG: Dexrazoxane,University of Arkansas,PHASE1,INTERVENTIONAL,2021-09-14,2025-06-11,"University of Arkansas for Medical Sciences, Little Rock, United States",Participants With 95% Reduction in Topoisomerase 2 b From Baseline,https://clinicaltrials.gov/study/NCT03930680,ClinicalTrials.gov,Dexrazoxane
NCT02127788,Use of Micafungin (Mycamine®) as Antifungal Prophylaxis in Haematology and Onco-haematology,"Observational, Longitudinal, Prospective, French, Multicentre Study Conducted on Adult and Paediatric Patients Treated With Micafungin in Prophylaxis and Followed Over a 3 Months' Period in Routine Medical Practice",COMPLETED,Antifungal Prophylaxis; Haemopathy,DRUG: Micafungin,Astellas Pharma S.A.S.,,OBSERVATIONAL,2014-07-03,2016-01-27,"Site, Angers, France; Site, Angers, France; Site, Béziers, France; Site, Bordeaux, France; Site, Brest, France; Site, Clermont-Ferrand, France; Site, Lille, France; Site, Limoges, France; Site, Marseille, France; Site, Marseille, France; Site, Metz, France; Site, Montpellier, France; Site, Nantes, France; Site, Paris, France; Site, Paris, France; Site, Saint-Denis La Réunion, France; Site, Vandœuvre-lès-Nancy, France","Breakthrough incidence of Invasive Fungal Infection (IFI), defined according to the revised EORTC/MSG criteria, during prophylaxis use of micafungin",https://clinicaltrials.gov/study/NCT02127788,ClinicalTrials.gov,Micafungin
NCT02460991,A Study of ONCO-DOX in Locally Advanced Hepatocellular Carcinoma,"A Randomized Controlled Trial of Transcatheter Arterial Chemoembolization With Drug Eluting Beads (DEB-TACE) Versus Sorafenib in the Treatment of Unresectable, Locally Advanced Hepatocellular Carcinoma",TERMINATED,Hepatocellular Carcinoma; Hepatoma; Liver Cell Carcinoma,DEVICE: DEB-TACE; DRUG: Sorafenib,Boston Scientific Corporation,PHASE3,INTERVENTIONAL,2015-11,2017-06-05,"University of Alabama Hospital, Birmingham, United States; University of Southern California, Los Angeles, United States; University of Louisville, Louisville, United States; University of Maryland Medical Center, Baltimore, United States; Oregon Health & Science University, Portland, United States; MD Anderson Cancer Center, Houston, United States",Overall Survival,https://clinicaltrials.gov/study/NCT02460991,ClinicalTrials.gov,Sorafenib
NCT06227949,FSH and LH Versus FSH Alone for Ovarian Stimulation in Non-hormone Sensitive Onco-fertility Patients,FSH and LH Versus FSH Alone for Ovarian Stimulation in Non-hormone Sensitive Onco-fertility Patients: an Exploratory Randomized Controlled Trial,NOT_YET_RECRUITING,Fertility Preservation,DRUG: Luveris,Ellen Greenblatt,PHASE3,INTERVENTIONAL,2024-02,2031-12,,Total number of mature (MII) oocytes available for cryopreservation,https://clinicaltrials.gov/study/NCT06227949,ClinicalTrials.gov,Luveris
NCT05045950,Optimizing Neurocognition With Whole Brain Radiation Therapy (WBRT) Using Upfront Pulsed Reduced Dose-Rate (PRDR) Technique,Optimizing Neurocognition With Whole Brain Radiation Therapy (WBRT) Using Upfront Pulsed Reduced Dose-Rate (PRDR) Technique (ONCO-RT) - A Phase II Trial of Upfront Pulsed Reduced Dose Rate Whole-Brain Radiation Therapy for Brain Metastases,RECRUITING,Brain Metastases,DRUG: Memantine -Twice Daily or Extended Release; RADIATION: WBRT utilizing the PRDR technique,Medical College of Wisconsin,PHASE2,INTERVENTIONAL,2021-11-17,2029-05,"Froedtert Hospital & the Medical College of Wisconsin, Milwaukee, United States; Clement J. Zablocki Veterans Affairs Medical Center, Milwaukee, United States",Successful completion of PRDR WBRT treatment,https://clinicaltrials.gov/study/NCT05045950,ClinicalTrials.gov,Memantine -Twice Daily or Extended Release
NCT02564094,A Study of Epoetin Beta (NeoRecormon) in Participants With Solid Tumors or Hematologic Malignancies,"Optimizing Treatment of the Anaemia in Onco-Hematological Diseases With NeoRecormon 30,000 IU Once Weekly",COMPLETED,Anemia,DRUG: Epoetin beta,Hoffmann-La Roche,PHASE4,INTERVENTIONAL,2005-02,2006-06,", Plovdiv, Bulgaria; , Plovdiv, Bulgaria; , Sofia, Bulgaria; , Sofia, Bulgaria; , Sofia, Bulgaria; , Sofia, Bulgaria; , Stara Zagora, Bulgaria; , Varna, Bulgaria; , Varna, Bulgaria",Response rate according to hemoglobin level; Transfusion requirement rate; Predictive value of reticulocyte increase,https://clinicaltrials.gov/study/NCT02564094,ClinicalTrials.gov,Epoetin beta
NCT02539316,Pilot Study: Hepatoprotective Role of SMOFlipid® Used in Short-term Parenteral Nutrition in an Onco-Hematology Pediatric Population,Pilot Study: Hepatoprotective Role of SMOFlipid® Used in Short-term Parenteral Nutrition in an Onco-Hematology Pediatric Population,COMPLETED,Dietary and Nutritional Therapies,DRUG: Smoflipid; DRUG: Médialipides,Centre Hospitalier Universitaire de Nice,PHASE4,INTERVENTIONAL,2015-06,2016-10,"Hôpital de l'Archet - CHU de Nice, Nice, France",dosage of γGT in UI/l; dosage of γGT in UI/l; dosage of γGT in UI/l,https://clinicaltrials.gov/study/NCT02539316,ClinicalTrials.gov,"Smoflipid,Médialipides"
NCT04878692,Evaluation of a Cosmetic Product to Preserve Skin Conditions When Using Anti-EGFR Cancer Therapies,Evaluation of a Cosmetic Product (Onco-Rash) to Preserve Skin Conditions When Using Anti-EGFR Cancer Therapies Which Are Known to Fragilize Epidermis,UNKNOWN,"Carcinoma, Non-Small-Cell Lung; Colorectal Neoplasms; Head and Neck Neoplasms",DRUG: Application of Onco-Rash cream; DRUG: Application of Onco-Neutre cream,Hospices Civils de Lyon,,INTERVENTIONAL,2021-06-01,2022-07-01,"Institut de Cancérologie des Hospices Civils de Lyon - Service Oncologie Médicale - Centre Hospitalier Lyon Sud, Pierre-Bénite, France",Measurement of the percentage of Onco-Rash failure by counting the number of patients with a rash grade ≥ 2 (NCI-CTCAE scale).,https://clinicaltrials.gov/study/NCT04878692,ClinicalTrials.gov,"Application of Onco-Rash,Application of Onco-Neutre"
